Team,Opponent,PF**,Seed,TournamentYear
Vermont,Florida St.,69,13,2019
Houston,Kentucky,58,3,2019
Houston,Georgia St.,84,3,2019
Houston,Ohio St.,74,3,2019
Temple,Belmont,70,11,2019
Cincinnati,Iowa,72,7,2019
UCF,VCU,73,9,2019
UCF,Duke,76,9,2019
Saint Louis,Virginia Tech,52,13,2019
VCU,UCF,58,8,2019
North Carolina,Iona,88,1,2019
North Carolina,Washington,81,1,2019
North Carolina,Auburn,80,1,2019
Duke,North Dakota St.,85,1,2019
Duke,UCF,77,1,2019
Duke,Virginia Tech,75,1,2019
Duke,Michigan St.,67,1,2019
Florida St.,Gonzaga,58,4,2019
Florida St.,Vermont,76,4,2019
Florida St.,Murray St.,90,4,2019
Louisville,Minnesota,76,7,2019
Virginia Tech,Duke,73,4,2019
Virginia Tech,Saint Louis,66,4,2019
Virginia Tech,Liberty,67,4,2019
Syracuse,Baylor,69,8,2019
Virginia,Gardner-Webb,71,1,2019
Virginia,Oklahoma,63,1,2019
Virginia,Oregon,53,1,2019
Virginia,Purdue,80,1,2019
Virginia,Auburn,63,1,2019
Virginia,Texas Tech,85,1,2019
Liberty,Mississippi St.,80,12,2019
Liberty,Virginia Tech,58,12,2019
Iowa St.,Ohio St.,59,6,2019
Kansas,Northeastern,87,4,2019
Kansas,Auburn,75,4,2019
Texas Tech,Michigan,63,3,2019
Texas Tech,Gonzaga,75,3,2019
Texas Tech,Michigan St.,61,3,2019
Texas Tech,Virginia,77,3,2019
Texas Tech,Northern Ky.,72,3,2019
Texas Tech,Buffalo,78,3,2019
Baylor,Syracuse,78,9,2019
Baylor,Gonzaga,71,9,2019
Oklahoma,Ole Miss,95,9,2019
Oklahoma,Virginia,51,9,2019
Kansas St.,UC Irvine,64,4,2019
Marquette,Murray St.,64,5,2019
St. John's (NY),Arizona St.,65,11,2019
Villanova,Purdue,61,6,2019
Villanova,Saint Mary's (CA),61,6,2019
Seton Hall,Wofford,68,10,2019
Montana,Michigan,55,15,2019
Gardner-Webb,Virginia,56,16,2019
Michigan St.,Duke,68,2,2019
Michigan St.,Bradley,76,2,2019
Michigan St.,Minnesota,70,2,2019
Michigan St.,LSU,80,2,2019
Michigan St.,Texas Tech,51,2,2019
Iowa,Cincinnati,79,10,2019
Iowa,Tennessee,77,10,2019
Purdue,Tennessee,99,3,2019
Purdue,Virginia,75,3,2019
Purdue,Old Dominion,61,3,2019
Purdue,Villanova,87,3,2019
Minnesota,Louisville,86,10,2019
Minnesota,Michigan St.,50,10,2019
Michigan,Montana,74,2,2019
Michigan,Florida,64,2,2019
Michigan,Texas Tech,44,2,2019
Ohio St.,Iowa St.,62,11,2019
Ohio St.,Houston,59,11,2019
Maryland,LSU,67,6,2019
Maryland,Belmont,79,6,2019
Wisconsin,Oregon,54,5,2019
UC Irvine,Kansas St.,70,13,2019
UC Irvine,Oregon,54,13,2019
Northeastern,Kansas,53,13,2019
Old Dominion,Purdue,48,14,2019
Northern Ky.,Texas Tech,57,14,2019
Yale,LSU,74,14,2019
Iona,North Carolina,73,16,2019
N.C. Central,North Dakota St.,74,16,2019
Buffalo,Texas Tech,58,6,2019
Buffalo,Arizona St.,91,6,2019
Bradley,Michigan St.,65,15,2019
Utah St.,Washington,61,8,2019
Nevada,Florida,61,7,2019
Fairleigh Dickinson,Prairie View,82,16,2019
Fairleigh Dickinson,Gonzaga,49,16,2019
Belmont,Maryland,77,11,2019
Belmont,Temple,81,11,2019
Murray St.,Marquette,83,12,2019
Murray St.,Florida St.,62,12,2019
Arizona St.,Buffalo,74,11,2019
Arizona St.,St. John's (NY),74,11,2019
